player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"01",Ymv6_4OaPX,2024-11-29T03:32:08.396Z,,20000,,13890,-6110
"luckhiny",anb9bJHyuj,2024-11-29T03:20:15.798Z,,5000,,10535,5535
"Kray",Oqi7BIGpeY,2024-11-29T03:15:06.069Z,,8000,,10043,2043
"dan",AKfh-OLI2w,2024-11-29T03:15:06.075Z,,5000,,13807,8807
"cire2",xkV6EIpUbs,2024-11-29T03:14:15.899Z,,10120,,16814,6694
"cire",ElVqSEU634,2024-11-29T03:06:40.050Z,2024-11-29T03:12:26.900Z,10000,10120,0,120
"01",Ymv6_4OaPX,2024-11-29T03:04:41.171Z,2024-11-29T03:31:06.101Z,5000,0,0,-5000
"dan",AKfh-OLI2w,2024-11-29T02:39:09.125Z,2024-11-29T03:14:15.893Z,5000,0,0,-5000
"hippo toaster",_mE1UMbOE9,2024-11-29T02:37:20.687Z,,10000,,23573,13573
"Way",5EPQmE8MpJ,2024-11-29T02:33:09.667Z,,10000,,10633,633
"AS",YSMTNrM5-X,2024-11-29T02:28:09.063Z,2024-11-29T03:03:41.337Z,5000,8846,0,3846
"blob",T_bg0SxBs3,2024-11-29T01:54:17.394Z,,5000,,15005,10005
"recall",6qzejymT45,2024-11-29T01:50:27.298Z,2024-11-29T03:05:30.945Z,12202,12970,0,768
"blam",DJib9VMfkX,2024-11-29T01:43:48.151Z,2024-11-29T03:09:09.262Z,10000,0,0,-10000
"blob",T_bg0SxBs3,2024-11-29T01:44:19.619Z,2024-11-29T01:53:54.502Z,5000,0,0,-5000
"AS",YSMTNrM5-X,2024-11-29T01:37:41.101Z,2024-11-29T02:27:20.697Z,5000,0,0,-5000
"Aaronnsters21",3ocCusF3nc,2024-11-29T01:37:41.094Z,2024-11-29T02:37:20.682Z,8000,11849,0,3849
"Ttenny",eBOY-hqmLb,2024-11-29T01:37:41.083Z,2024-11-29T02:37:20.678Z,8000,14024,0,6024
"tenny",BIRsbmy9a8,,2024-11-29T01:33:21.105Z,6000,6000,0,0
"recahl",3JCqAOGicT,2024-11-29T01:37:41.103Z,2024-11-29T01:49:46.764Z,8590,12202,0,3612
"blam",DJib9VMfkX,2024-11-29T01:37:41.090Z,2024-11-29T01:41:41.428Z,5000,0,0,-5000
"rogur",peBIxUvOkU,2024-11-29T01:37:41.088Z,2024-11-29T02:33:09.662Z,10000,13732,0,3732
"S G",yP7nw_iNJ9,2024-11-29T01:37:41.080Z,,55000,,19026,-35974
"blob",T_bg0SxBs3,2024-11-29T01:37:41.097Z,2024-11-29T01:39:03.732Z,5000,0,0,-5000
"cat",V6Jp-3WCAQ,2024-11-29T01:37:41.076Z,,10000,,21648,11648
