entry,at,order,player_name,player_nickname,player_id,amount,action,phase,hand_count
The game's small blind was changed from 10 to 2.,2025-01-06 18:08:42.683000+00:00,173618692268300,,,,10.0,,,0
The game's big blind was changed from 20 to 5.,2025-01-06 18:08:42.683000+00:00,173618692268301,,,,20.0,,,0
The game's ante was changed from 0 to 0.,2025-01-06 18:08:42.683000+00:00,173618692268302,,,,0.0,,,0
"The player ""Solstice @ VE6CjkevP7"" requested a seat.",2025-01-06 18:08:50.931000+00:00,173618693093100,Solstice @ VE6CjkevP7,Solstice,VE6CjkevP7,,,,0
"The admin approved the player ""Solstice @ VE6CjkevP7"" participation with a stack of 500.",2025-01-06 18:08:50.931000+00:00,173618693093101,Solstice @ VE6CjkevP7,Solstice,VE6CjkevP7,500.0,joins,,0
"The player ""Oogwhey @ 2bh5Tq53IL"" requested a seat.",2025-01-06 18:14:20.373000+00:00,173618726037300,Oogwhey @ 2bh5Tq53IL,Oogwhey,2bh5Tq53IL,,,,0
"The player ""AJB @ G5tNeuz87W"" requested a seat.",2025-01-06 18:14:24.925000+00:00,173618726492500,AJB @ G5tNeuz87W,AJB,G5tNeuz87W,,,,0
"The admin approved the player ""Oogwhey @ 2bh5Tq53IL"" participation with a stack of 500.",2025-01-06 18:14:36.107000+00:00,173618727610700,Oogwhey @ 2bh5Tq53IL,Oogwhey,2bh5Tq53IL,500.0,joins,,0
"The admin approved the player ""AJB @ G5tNeuz87W"" participation with a stack of 500.",2025-01-06 18:14:38.107000+00:00,173618727810700,AJB @ G5tNeuz87W,AJB,G5tNeuz87W,500.0,joins,,0
"The player ""MS @ 5qVbrQw2gS"" requested a seat.",2025-01-06 18:29:58.126000+00:00,173618819812600,MS @ 5qVbrQw2gS,MS,5qVbrQw2gS,,,,0
"The admin approved the player ""MS @ 5qVbrQw2gS"" participation with a stack of 750.",2025-01-06 18:30:26.512000+00:00,173618822651200,MS @ 5qVbrQw2gS,MS,5qVbrQw2gS,750.0,joins,,0
"The player ""AndrewE8 @ ychRcKVV_K"" requested a seat.",2025-01-06 18:40:16.689000+00:00,173618881668900,AndrewE8 @ ychRcKVV_K,AndrewE8,ychRcKVV_K,,,,0
"The admin approved the player ""AndrewE8 @ ychRcKVV_K"" participation with a stack of 500.",2025-01-06 18:40:29.237000+00:00,173618882923700,AndrewE8 @ ychRcKVV_K,AndrewE8,ychRcKVV_K,500.0,joins,,0
