player_id,session_start_at,session_end_at,net,buy_in,buy_out,stack,player_nickname,Hands_Played
veBGTBF0CX,2024-11-09 17:58:12.409000+00:00,2024-11-09 18:20:00.467000+00:00,-225.0,10000.0,9775.0,0.0,Bowser,97
FoQSktNbW5,2024-11-09 19:26:44.323000+00:00,2024-11-09 18:56:38.183000+00:00,-29775.0,29775.0,0.0,0.0,Bowsers,89
19NYx-RKeG,2024-11-09 20:08:55.132000+00:00,2024-11-09 20:38:58.232000+00:00,-5000.0,5000.0,0.0,0.0,Carti,120
yR5jUYG1ph,2024-11-09 21:30:26.730000+00:00,2024-11-09 21:28:59.824000+00:00,-5278.0,15000.0,9722.0,0.0,Corb,73
p5lp-8y_RR,2024-11-09 18:52:09.629000+00:00,2024-11-09 19:19:38.589000+00:00,-5000.0,5000.0,0.0,0.0,Deamon,156
p1XQnbxYDk,2024-11-09 19:33:32.317000+00:00,2024-11-09 19:57:14.697000+00:00,-5000.0,5000.0,0.0,0.0,Jh,61
_AJRz_8XAw,2024-11-09 20:03:18.943000+00:00,2024-11-09 21:24:31.077000+00:00,4749.0,7500.0,12249.0,0.0,Reggie,178
YnhjjC7DoB,2024-11-09 20:55:01.842000+00:00,2024-11-09 22:44:21.059000+00:00,6996.0,10000.0,16996.0,0.0,TripleBBB,47
8bvVQ3MsC9,2024-11-09 19:11:13.588000+00:00,,-6441.0,25000.0,0.0,18559.0,Ty,25
i0PavpB081,2024-11-09 20:16:37.553000+00:00,2024-11-09 23:00:35.231000+00:00,16351.0,25000.0,41351.0,0.0,Zhuu,125
TxZ0bz4guu,2024-11-09 21:06:58.619000+00:00,2024-11-09 23:16:54.056000+00:00,-10000.0,10000.0,0.0,0.0,asdf,106
_6mwhNBEUD,2024-11-09 19:22:13.191000+00:00,2024-11-09 20:40:31.934000+00:00,5737.0,5000.0,10737.0,0.0,av,178
-c6EEVvXCE,2024-11-09 18:54:56.012000+00:00,2024-11-09 18:45:14.091000+00:00,-10000.0,10001.0,0.0,0.0,bdawg o_O,139
lVaYW3fYIC,2024-11-09 18:56:57.447000+00:00,2024-11-09 20:02:29.454000+00:00,8750.0,5000.0,13750.0,0.0,bonky,18
X93DxS7PK6,2024-11-09 22:27:39.827000+00:00,,18812.0,7500.0,0.0,26312.0,ctol,125
8-rydf_6lZ,2024-11-09 17:58:12.400000+00:00,2024-11-09 21:33:56.519000+00:00,11500.0,5000.0,16500.0,0.0,dEdwards,64
QEiqSPfMIP,2024-11-09 21:59:34.125000+00:00,2024-11-09 21:56:33.321000+00:00,-13617.0,20000.0,0.0,0.0,danny,142
aBq5jK_dtq,2024-11-09 19:04:18.158000+00:00,2024-11-09 19:02:49.942000+00:00,-8556.0,20000.0,11444.0,0.0,empire,88
tPtOktvqpi,2024-11-09 22:15:35.360000+00:00,2024-11-09 23:54:44.743000+00:00,-5000.0,5000.0,0.0,0.0,jlacked,29
_4ETjrH0Ke,2024-11-09 17:58:12.420000+00:00,2024-11-09 20:31:55.030000+00:00,121.0,15000.0,15121.0,0.0,jlim,89
Eqdn8B3X-p,2024-11-09 18:34:39.358000+00:00,2024-11-09 18:54:05.150000+00:00,-5000.0,5000.0,0.0,0.0,kye,72
n76oJ5Cj90,2024-11-09 21:05:56.401000+00:00,2024-11-09 22:11:44.171000+00:00,2193.0,20000.0,22193.0,0.0,malheureux,80
moMEqwgWXu,2024-11-09 17:58:12.412000+00:00,2024-11-09 19:25:03.402000+00:00,26310.0,5000.0,31310.0,0.0,mcc,48
_jSGzxaBNG,2024-11-09 23:00:35.242000+00:00,,5045.0,10000.0,0.0,15045.0,pepper022,125
3JCqAOGicT,2024-11-09 22:10:45.456000+00:00,2024-11-09 18:40:13.829000+00:00,-15132.0,30000.0,14868.0,0.0,recahl,20
ISsPVKUQSa,2024-11-09 17:58:12.406000+00:00,2024-11-09 18:30:53.648000+00:00,-5000.0,5000.0,0.0,0.0,shaq,280
905zne7FBQ,2024-11-09 17:58:12.424000+00:00,2024-11-09 19:51:34.890000+00:00,4309.0,5000.0,9309.0,0.0,tty,16
YmShrM13Jx,2024-11-09 22:47:56.375000+00:00,,18151.0,10000.0,0.0,28151.0,viraj_,52
