hand_count,Position,player_nickname,player_id,Stack,Profit
0,-1,Oogwhey,2bh5Tq53IL,500.0,0.0
1,#9,MS,5qVbrQw2gS,750.0,0.0
1,#4,Solstice,VE6CjkevP7,500.0,0.0
1,#2,AndrewE8,ychRcKVV_K,500.0,0.0
1,#1,AJB,G5tNeuz87W,500.0,0.0
2,#9,MS,5qVbrQw2gS,750.0,0.0
2,#4,Solstice,VE6CjkevP7,480.0,-20.0
2,#2,AndrewE8,ychRcKVV_K,520.0,20.0
2,#1,AJB,G5tNeuz87W,500.0,0.0
3,#9,MS,5qVbrQw2gS,735.0,-15.0
3,#4,Solstice,VE6CjkevP7,478.0,-22.0
3,#2,AndrewE8,ychRcKVV_K,520.0,20.0
3,#1,AJB,G5tNeuz87W,517.0,17.0
4,#9,MS,5qVbrQw2gS,733.0,-17.0
4,#4,Solstice,VE6CjkevP7,478.0,-22.0
4,#2,AndrewE8,ychRcKVV_K,520.0,20.0
4,#1,AJB,G5tNeuz87W,519.0,19.0
5,#9,MS,5qVbrQw2gS,733.0,-17.0
5,#4,Solstice,VE6CjkevP7,478.0,-22.0
5,#2,AndrewE8,ychRcKVV_K,522.0,22.0
5,#1,AJB,G5tNeuz87W,517.0,17.0
6,#9,MS,5qVbrQw2gS,733.0,-17.0
6,#4,Solstice,VE6CjkevP7,473.0,-27.0
6,#2,AndrewE8,ychRcKVV_K,520.0,20.0
6,#1,AJB,G5tNeuz87W,524.0,24.0
7,#9,MS,5qVbrQw2gS,845.0,95.0
7,#4,Solstice,VE6CjkevP7,361.0,-139.0
7,#3,g,ZLzUxKGvQY,750.0,0.0
7,#2,AndrewE8,ychRcKVV_K,520.0,20.0
7,#1,AJB,G5tNeuz87W,524.0,24.0
8,#9,MS,5qVbrQw2gS,843.0,93.0
8,#4,Solstice,VE6CjkevP7,395.0,-105.0
8,#3,g,ZLzUxKGvQY,723.0,-27.0
8,#2,AndrewE8,ychRcKVV_K,520.0,20.0
8,#1,AJB,G5tNeuz87W,519.0,19.0
9,#9,MS,5qVbrQw2gS,843.0,93.0
9,#4,Solstice,VE6CjkevP7,402.0,-98.0
9,#3,g,ZLzUxKGvQY,723.0,-27.0
9,#2,AndrewE8,ychRcKVV_K,515.0,15.0
9,#1,AJB,G5tNeuz87W,517.0,17.0
10,#9,MS,5qVbrQw2gS,843.0,93.0
10,#4,Solstice,VE6CjkevP7,402.0,-98.0
10,#3,g,ZLzUxKGvQY,718.0,-32.0
10,#2,AndrewE8,ychRcKVV_K,513.0,13.0
10,#1,AJB,G5tNeuz87W,524.0,24.0
11,#9,MS,5qVbrQw2gS,843.0,93.0
11,#4,Solstice,VE6CjkevP7,459.0,-41.0
11,#3,g,ZLzUxKGvQY,716.0,-34.0
11,#2,AndrewE8,ychRcKVV_K,513.0,13.0
11,#1,AJB,G5tNeuz87W,469.0,-31.0
12,#9,MS,5qVbrQw2gS,829.0,79.0
12,#4,Solstice,VE6CjkevP7,457.0,-43.0
12,#3,g,ZLzUxKGvQY,732.0,-18.0
12,#2,AndrewE8,ychRcKVV_K,513.0,13.0
12,#1,AJB,G5tNeuz87W,469.0,-31.0
13,#9,MS,5qVbrQw2gS,827.0,77.0
13,#4,Solstice,VE6CjkevP7,858.0,358.0
13,#3,g,ZLzUxKGvQY,353.0,-397.0
13,#2,AndrewE8,ychRcKVV_K,498.0,-2.0
13,#1,AJB,G5tNeuz87W,464.0,-36.0
14,#9,MS,5qVbrQw2gS,827.0,77.0
14,#4,Solstice,VE6CjkevP7,880.0,380.0
14,#3,g,ZLzUxKGvQY,338.0,-412.0
14,#2,AndrewE8,ychRcKVV_K,493.0,-7.0
14,#10,ADURRRR,cUjvHJzz-e,500.0,0.0
14,#1,AJB,G5tNeuz87W,462.0,-38.0
15,#9,MS,5qVbrQw2gS,827.0,77.0
15,#4,Solstice,VE6CjkevP7,880.0,380.0
15,#3,g,ZLzUxKGvQY,259.0,-491.0
15,#2,AndrewE8,ychRcKVV_K,491.0,-9.0
15,#10,ADURRRR,cUjvHJzz-e,500.0,0.0
15,#1,AJB,G5tNeuz87W,543.0,43.0
16,#9,MS,5qVbrQw2gS,827.0,77.0
16,#4,Solstice,VE6CjkevP7,882.0,382.0
16,#3,g,ZLzUxKGvQY,257.0,-493.0
16,#2,AndrewE8,ychRcKVV_K,491.0,-9.0
16,#10,ADURRRR,cUjvHJzz-e,500.0,0.0
16,#1,AJB,G5tNeuz87W,543.0,43.0
17,#9,MS,5qVbrQw2gS,822.0,72.0
17,#4,Solstice,VE6CjkevP7,880.0,380.0
17,#3,g,ZLzUxKGvQY,257.0,-493.0
17,#2,AndrewE8,ychRcKVV_K,491.0,-9.0
17,#10,ADURRRR,cUjvHJzz-e,500.0,0.0
17,#1,AJB,G5tNeuz87W,550.0,50.0
18,#9,MS,5qVbrQw2gS,820.0,70.0
18,#4,Solstice,VE6CjkevP7,880.0,380.0
18,#3,g,ZLzUxKGvQY,329.0,-421.0
18,#2,AndrewE8,ychRcKVV_K,491.0,-9.0
18,#10,ADURRRR,cUjvHJzz-e,495.0,-5.0
18,#1,AJB,G5tNeuz87W,485.0,-15.0
19,#9,MS,5qVbrQw2gS,703.0,-47.0
19,#4,Solstice,VE6CjkevP7,880.0,380.0
19,#3,g,ZLzUxKGvQY,294.0,-456.0
19,#2,AndrewE8,ychRcKVV_K,491.0,-9.0
19,#10,ADURRRR,cUjvHJzz-e,652.0,152.0
19,#1,AJB,G5tNeuz87W,480.0,-20.0
20,#9,MS,5qVbrQw2gS,703.0,-47.0
20,#5,alex,6_sDk2RBW8,750.0,0.0
20,#4,Solstice,VE6CjkevP7,880.0,380.0
