entry,at,order
"""danny @ QEiqSPfMIP"" raises to 1.50",2024-11-09T23:20:37.815Z,173119443781500
"""Ty @ 8bvVQ3MsC9"" folds",2024-11-09T23:20:34.586Z,173119443458600
"""recahl @ 3JCqAOGicT"" folds",2024-11-09T23:20:33.594Z,173119443359400
"""viraj_ @ YmShrM13Jx"" posts a big blind of 0.50",2024-11-09T23:20:32.112Z,173119443211210
"""ctol @ X93DxS7PK6"" posts a small blind of 0.25",2024-11-09T23:20:32.112Z,173119443211209
"Player stacks: #2 ""recahl @ 3JCqAOGicT"" (114.50) | #3 ""Ty @ 8bvVQ3MsC9"" (98.46) | #4 ""danny @ QEiqSPfMIP"" (112.20) | #6 ""pepper022 @ _jSGzxaBNG"" (64.87) | #7 ""jlacked @ tPtOktvqpi"" (136.90) | #8 ""ctol @ X93DxS7PK6"" (235.99) | #10 ""viraj_ @ YmShrM13Jx"" (230.26)",2024-11-09T23:20:32.112Z,173119443211201
"-- starting hand #276 (id: hzk3ptuo95sa)  (No Limit Texas Hold'em) (dealer: ""jlacked @ tPtOktvqpi"") --",2024-11-09T23:20:32.112Z,173119443211200
"""ctol @ X93DxS7PK6"" shows a 8♣, 3♣.",2024-11-09T23:20:30.278Z,173119443027800
"""jlacked @ tPtOktvqpi"" shows a 2♠, J♣.",2024-11-09T23:20:28.123Z,173119442812300
"-- ending hand #275 --",2024-11-09T23:20:27.780Z,173119442778002
"""ctol @ X93DxS7PK6"" collected 6.49 from pot",2024-11-09T23:20:27.780Z,173119442778001
"Uncalled bet of 4.75 returned to ""ctol @ X93DxS7PK6""",2024-11-09T23:20:27.780Z,173119442778000
"""danny @ QEiqSPfMIP"" folds",2024-11-09T23:20:26.965Z,173119442696500
"""ctol @ X93DxS7PK6"" bets 4.75",2024-11-09T23:20:22.319Z,173119442231900
"Turn: 4♣, J♦, 2♥ [9♣]",2024-11-09T23:20:14.286Z,173119441428600
"""ctol @ X93DxS7PK6"" calls 1.62",2024-11-09T23:20:13.478Z,173119441347800
"""danny @ QEiqSPfMIP"" bets 1.62",2024-11-09T23:20:10.650Z,173119441065000
"""ctol @ X93DxS7PK6"" checks",2024-11-09T23:20:07.237Z,173119440723700
"Flop:  [4♣, J♦, 2♥]",2024-11-09T23:20:06.640Z,173119440664000
"""ctol @ X93DxS7PK6"" calls 1.50",2024-11-09T23:20:05.750Z,173119440575000
"""jlacked @ tPtOktvqpi"" folds",2024-11-09T23:20:03.150Z,173119440315000
"""pepper022 @ _jSGzxaBNG"" folds",2024-11-09T23:20:02.244Z,173119440224400
"""danny @ QEiqSPfMIP"" raises to 1.50",2024-11-09T23:20:01.335Z,173119440133500
"""Ty @ 8bvVQ3MsC9"" folds",2024-11-09T23:19:55.835Z,173119439583500
"""recahl @ 3JCqAOGicT"" folds",2024-11-09T23:19:54.916Z,173119439491600
"""viraj_ @ YmShrM13Jx"" folds",2024-11-09T23:19:53.984Z,173119439398400
"""ctol @ X93DxS7PK6"" posts a big blind of 0.50",2024-11-09T23:19:42.455Z,173119438245510
"""jlacked @ tPtOktvqpi"" posts a small blind of 0.25",2024-11-09T23:19:42.455Z,173119438245509
"Player stacks: #2 ""recahl @ 3JCqAOGicT"" (114.50) | #3 ""Ty @ 8bvVQ3MsC9"" (98.46) | #4 ""danny @ QEiqSPfMIP"" (115.32) | #6 ""pepper022 @ _jSGzxaBNG"" (64.87) | #7 ""jlacked @ tPtOktvqpi"" (137.15) | #8 ""ctol @ X93DxS7PK6"" (232.62) | #10 ""viraj_ @ YmShrM13Jx"" (230.26)",2024-11-09T23:19:42.455Z,173119438245501
"-- starting hand #275 (id: exe5xmgqwa7q)  (No Limit Texas Hold'em) (dealer: ""pepper022 @ _jSGzxaBNG"") --",2024-11-09T23:19:42.455Z,173119438245500
"""Ty @ 8bvVQ3MsC9"" shows a J♠.",2024-11-09T23:19:40.856Z,173119438085600
"""ctol @ X93DxS7PK6"" shows a 2♥, 5♠.",2024-11-09T23:19:38.645Z,173119437864500
"-- ending hand #274 --",2024-11-09T23:19:38.036Z,173119437803603
