player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"Andy",KYUUiBlYsH,2024-12-20T05:04:59.464Z,,10000,,9810,-190
"Jh",p1XQnbxYDk,2024-12-20T04:50:46.997Z,,5000,,3787,-1213
"mcchicken",zyJxXUb-Pv,2024-12-20T04:50:47.000Z,,20000,,24330,4330
"Jh",p1XQnbxYDk,2024-12-20T04:32:29.448Z,2024-12-20T04:48:50.025Z,5000,0,0,-5000
"bolla",7doWhJyjpz,2024-12-20T04:06:52.666Z,,5000,,14508,9508
"OODI",Ryv57uvBSR,2024-12-20T03:55:31.830Z,,20100,,23204,3104
"Tstaykoff",z683dibG8V,2024-12-20T03:48:03.302Z,,5000,,4835,-165
"Dan",W131woZIq-,2024-12-20T03:47:07.149Z,,15000,,36616,21616
"dwizard",-pCx5gOSLN,2024-12-20T03:33:28.154Z,2024-12-20T04:48:50.029Z,7500,17439,0,9939
"Sang",y9AOCYvFkB,2024-12-20T03:30:52.067Z,2024-12-20T04:52:18.610Z,15000,13794,0,-1206
"Sang",y9AOCYvFkB,2024-12-20T03:25:00.247Z,2024-12-20T03:27:19.777Z,15000,0,0,-15000
"cat",V6Jp-3WCAQ,2024-12-20T03:20:09.870Z,,10000,,8520,-1480
"Jh",p1XQnbxYDk,2024-12-20T03:18:29.118Z,2024-12-20T04:30:37.768Z,5000,0,0,-5000
"TG",u_S6Wi8Wyf,2024-12-20T03:10:57.630Z,,6000,,2728,-3272
"casinoF",Q1-Njl5jED,2024-12-20T03:09:54.413Z,2024-12-20T03:17:03.236Z,5000,0,0,-5000
"Joe",rTUFmn5hWu,2024-12-20T02:55:35.415Z,2024-12-20T03:45:42.788Z,10000,0,0,-10000
"chunky",OQ8vuSpHPx,2024-12-20T02:45:52.204Z,2024-12-20T03:59:56.456Z,5000,0,0,-5000
"Miggi",Pd5DrQ2Fb3,2024-12-20T02:26:30.057Z,2024-12-20T03:32:45.710Z,5000,5029,0,29
"cire",JzexT5gND7,2024-12-20T02:06:05.514Z,2024-12-20T03:01:28.370Z,5000,0,0,-5000
"Juan",0X3PIo8G0m,2024-12-20T01:56:01.583Z,2024-12-20T03:14:49.501Z,6000,0,0,-6000
"cire",JzexT5gND7,2024-12-20T01:48:09.223Z,2024-12-20T02:04:42.902Z,5000,0,0,-5000
"Teagansta",Gn1RBbCG73,2024-12-20T01:44:56.878Z,2024-12-20T03:05:09.839Z,10000,21294,0,11294
"Tenny2",z-VxhrC8H1,2024-12-20T01:40:33.937Z,2024-12-20T02:51:33.050Z,5000,10363,0,5363
"Choohaz",_F_FSIXFjE,2024-12-20T01:37:04.312Z,,5000,,10787,5787
"OODI",Ryv57uvBSR,2024-12-20T01:32:01.963Z,2024-12-20T03:50:41.051Z,10000,0,0,-10000
"Kondracki24",CjvdYNKeXE,2024-12-20T01:27:10.378Z,2024-12-20T02:42:34.833Z,5000,10375,0,5375
"Tyle",kEGGSkXz6E,2024-12-20T01:12:02.266Z,2024-12-20T01:32:01.947Z,5000,0,0,-5000
"VikD",t7kHFWlVia,2024-12-20T00:32:18.495Z,2024-12-20T01:32:01.957Z,5000,10754,0,5754
"luckhiny",linSIhgT5b,2024-12-20T00:22:08.180Z,2024-12-20T00:52:22.745Z,5000,0,0,-5000
"mccc",eBZQH9Tpfk,2024-12-20T00:04:01.417Z,2024-12-20T02:06:05.511Z,10664,5916,0,-4748
"Juan",0X3PIo8G0m,2024-12-20T00:04:01.403Z,2024-12-20T01:53:23.266Z,7000,0,0,-7000
"diya",YHE7CM3GeT,2024-12-19T23:58:56.546Z,2024-12-20T01:26:01.171Z,5000,8019,0,3019
"cat",V6Jp-3WCAQ,2024-12-19T23:38:34.891Z,2024-12-20T03:18:29.113Z,5000,0,0,-5000
