entry,at,order
"""Andy @ KYUUiBlYsH"" folds",2024-12-20T05:13:51.390Z,173467163139000
"""Jh @ p1XQnbxYDk"" folds",2024-12-20T05:13:50.503Z,173467163050300
"""bolla @ 7doWhJyjpz"" raises to 2.00",2024-12-20T05:13:49.460Z,173467162946000
"""Choohaz @ _F_FSIXFjE"" calls 0.50",2024-12-20T05:13:44.530Z,173467162453000
"""OODI @ Ryv57uvBSR"" posts a big blind of 0.50",2024-12-20T05:13:40.385Z,173467162038521
"""mcchicken @ zyJxXUb-Pv"" posts a small blind of 0.25",2024-12-20T05:13:40.385Z,173467162038520
"""TG @ u_S6Wi8Wyf"" posts an ante of 0.10",2024-12-20T05:13:40.385Z,173467162038519
"""Andy @ KYUUiBlYsH"" posts an ante of 0.10",2024-12-20T05:13:40.385Z,173467162038518
"""Jh @ p1XQnbxYDk"" posts an ante of 0.10",2024-12-20T05:13:40.385Z,173467162038517
"""bolla @ 7doWhJyjpz"" posts an ante of 0.10",2024-12-20T05:13:40.385Z,173467162038516
"""Choohaz @ _F_FSIXFjE"" posts an ante of 0.10",2024-12-20T05:13:40.385Z,173467162038515
"""OODI @ Ryv57uvBSR"" posts an ante of 0.10",2024-12-20T05:13:40.385Z,173467162038514
"""mcchicken @ zyJxXUb-Pv"" posts an ante of 0.10",2024-12-20T05:13:40.385Z,173467162038513
"""Tstaykoff @ z683dibG8V"" posts an ante of 0.10",2024-12-20T05:13:40.385Z,173467162038512
"""Dan @ W131woZIq-"" posts an ante of 0.10",2024-12-20T05:13:40.385Z,173467162038511
"Player stacks: #1 ""Dan @ W131woZIq-"" (366.26) | #2 ""Tstaykoff @ z683dibG8V"" (48.45) | #3 ""mcchicken @ zyJxXUb-Pv"" (243.40) | #4 ""OODI @ Ryv57uvBSR"" (232.14) | #5 ""Choohaz @ _F_FSIXFjE"" (107.97) | #7 ""bolla @ 7doWhJyjpz"" (145.18) | #8 ""Jh @ p1XQnbxYDk"" (37.97) | #9 ""Andy @ KYUUiBlYsH"" (98.20) | #10 ""TG @ u_S6Wi8Wyf"" (27.38)",2024-12-20T05:13:40.385Z,173467162038501
"-- starting hand #516 (id: aygobdwqyvd5)  (No Limit Texas Hold'em) (dealer: ""Tstaykoff @ z683dibG8V"") --",2024-12-20T05:13:40.385Z,173467162038500
"-- ending hand #515 --",2024-12-20T05:13:37.383Z,173467161738302
"""Dan @ W131woZIq-"" collected 85.20 from pot",2024-12-20T05:13:37.383Z,173467161738301
"Uncalled bet of 42.60 returned to ""Dan @ W131woZIq-""",2024-12-20T05:13:37.383Z,173467161738300
"""Tstaykoff @ z683dibG8V"" folds",2024-12-20T05:13:36.556Z,173467161655600
"""Dan @ W131woZIq-"" bets 42.60",2024-12-20T05:13:17.997Z,173467159799700
"""Tstaykoff @ z683dibG8V"" checks",2024-12-20T05:13:05.190Z,173467158519000
"River: 5♣, 6♣, 2♠, K♦ [3♥]",2024-12-20T05:12:56.272Z,173467157627200
